Rank,Player,Position,Team,Games,Goals,Penalties,Goals/Games
1,Холанд Эрлинг,Нападающий,Манчестер Сити,15,14,3,0.93
2,Салах Мохамед,Нападающий,Ливерпуль,20,14,4,0.70
3,Соланке Доминик,Нападающий,Борнмут,20,12,1,0.60
4,Сон Хын-Мин,Нападающий,Тоттенхэм,20,12,1,0.60
5,Боуэн Джаррод,Нападающий,Вест Хэм,20,11,0,0.55
6,Исак Александер,Нападающий,Ньюкасл,16,10,2,0.63
7,Хван Хи-Чхан,Нападающий,Вулверхэмптон,20,10,1,0.50
8,Палмер Коул,Полузащитник,Манчестер Сити,,18,9,5
9,Уоткинс Олли,Нападающий,Астон Вилла,21,9,0,0.43
10,Вуд Крис,Нападающий,Ноттингем Форест,19,8,0,0.42
11,Уилсон Каллум,Нападающий,Ньюкасл,14,7,2,0.50
12,Жота Диогу,Нападающий,Ливерпуль,15,7,0,0.47
13,Мбеумо Брайан,Полузащитник,Брентфорд,15,7,3,0.47
14,Ришарлисон,Нападающий,Тоттенхэм,18,7,0,0.39
15,Джексон Николас,Нападающий,Челси,19,7,0,0.37
16,Гордон Энтони,Нападающий,Ньюкасл,20,7,0,0.35
17,Нуньес Дарвин,Нападающий,Ливерпуль,20,7,0,0.35
18,Жоао Педро,Нападающий,Брайтон,21,7,4,0.33
19,Эдуар Одсонн,Нападающий,Кристал Пэлас,15,6,0,0.40
20,Кудус Мохаммед,Полузащитник,Вест Хэм,16,6,0,0.38
21,Силва Бернарду,Полузащитник,Манчестер Сити,17,6,0,0.35
22,Дюкуре Абдулайе,Полузащитник,Эвертон,18,6,0,0.33
23,Бэйли Леон,Полузащитник,Астон Вилла,19,6,0,0.32
24,Фергюсон Эван,Нападающий,Брайтон,19,6,0,0.32
25,Альварес Хулиан,Нападающий,Манчестер Сити,20,6,1,0.30
26,Сака Букайо,Нападающий,Арсенал,20,6,2,0.30
27,Луис Дуглас,Полузащитник,Астон Вилла,20,6,4,0.30
28,Кунья Матеус,Нападающий,Вулверхэмптон,21,6,0,0.29
29,Олисе Майкл,Полузащитник,Кристал Пэлас,9,5,1,0.56
30,МакТоминэй Скотт,Полузащитник,Ман Юнайтед,18,5,0,0.28
31,Хименес Рауль,Нападающий,Фулхэм,18,5,0,0.28
32,Кулусевски Деян,Полузащитник,Тоттенхэм,19,5,0,0.26
33,Стерлинг Рахим,Нападающий,Челси,19,5,0,0.26
34,Адебайо Элайджа,Нападающий,Лутон Таун,20,5,0,0.25
35,Нкетиа Эдвард,Нападающий,Арсенал,20,5,0,0.25
36,Соучек Томаш,Полузащитник,Вест Хэм,20,5,0,0.25
37,Фоден Фил,Полузащитник,Манчестер Сити,20,5,0,0.25
38,МакГинн Джон,Полузащитник,Астон Вилла,21,5,0,0.24
39,Авонийи Тайво,Нападающий,Ноттингем Форест,10,4,0,0.40
40,Фостер Лайл,Нападающий,Бернли,12,4,0,0.33
41,МакБарни Оливер,Нападающий,Шеффилд Юн,12,4,2,0.33
42,Адингра Симон,Нападающий,Брайтон,17,4,0,0.24
43,Родри,Полузащитник,Манчестер Сити,17,4,0,0.24
44,Троссард Леандро,Нападающий,Арсенал,17,4,0,0.24
45,Виллиан,Нападающий,Фулхэм,17,4,2,0.24
46,Лемина Марио,Полузащитник,Вулверхэмптон,18,4,0,0.22
47,Эдегор Мартин,Полузащитник,Арсенал,18,4,2,0.22
48,Висса Йоан,Полузащитник,Брентфорд,19,4,0,0.21
49,Габриэл Мартинелли,Нападающий,Арсенал,19,4,0,0.21
50,Рид Бобби,Нападающий,Фулхэм,19,4,0,0.21
Rank,Player,Position,Team,Games,Goals,Penalties,Goals/Games
51,Амдуни Зеки,Нападающий,Бернли,20,4,0,0.20
52,Эланга Антони,Нападающий,Ноттингем Форест,20,4,0,0.20
53,Рэшфорд Маркус,Нападающий,Ман Юнайтед,20,4,1,0.20
54,Уорд-Праус Джеймс,Полузащитник,Вест Хэм,20,4,1,0.20
55,Хаверц Кай,Полузащитник,Арсенал,20,4,1,0.20
56,Моррис Карлтон,Нападающий,Лутон Таун,20,4,2,0.20
57,Диаби Мусса,Нападающий,Астон Вилла,21,4,0,0.19
58,Марч Соломон,Полузащитник,Брайтон,7,3,0,0.43
59,Мэддисон Джеймс,Полузащитник,Тоттенхэм,11,3,0,0.27
60,Грилиш Джек,Полузащитник,Манчестер Сити,12,3,0,0.25
